Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Switzerland,Western Europe,1,7.587,1.397,1.35,0.941,0.666,0.42,0.297
Iceland,Western Europe,2,7.561,1.302,1.402,0.948,0.629,0.141,0.436
Denmark,Western Europe,3,7.527,1.325,1.361,0.875,0.649,0.484,0.341
Norway,Western Europe,4,7.522,1.459,1.331,0.885,0.67,0.365,0.347
Canada,North America,5,7.427,1.326,1.323,0.906,0.633,0.33,0.458
Finland,Western Europe,6,7.406,1.29,1.318,0.889,0.642,0.414,0.234
Netherlands,Western Europe,7,7.378,1.329,1.28,0.893,0.616,0.318,0.476
Sweden,Western Europe,8,7.364,1.332,1.289,0.911,0.66,0.438,0.363
New Zealand,Australia and New Zealand,9,7.286,1.25,1.32,0.908,0.639,0.429,0.475
Australia,Australia and New Zealand,10,7.284,1.334,1.309,0.932,0.651,0.356,0.436
Israel,Middle East and Northern Africa,11,7.278,1.229,1.224,0.914,0.413,0.078,0.332
Costa Rica,Latin America and Caribbean,12,7.226,0.956,1.238,0.86,0.634,0.106,0.255
Austria,Western Europe,13,7.2,1.337,1.297,0.89,0.624,0.187,0.331
Mexico,Latin America and Caribbean,14,7.187,1.021,0.915,0.814,0.482,0.213,0.141
United States,North America,15,7.119,1.395,1.247,0.862,0.546,0.159,0.401
Brazil,Latin America and Caribbean,16,6.983,0.981,1.233,0.697,0.49,0.175,0.146
Luxembourg,Western Europe,17,6.946,1.564,1.22,0.919,0.616,0.378,0.28
Ireland,Western Europe,18,6.94,1.336,1.369,0.895,0.618,0.287,0.459
Belgium,Western Europe,19,6.937,1.308,1.286,0.897,0.585,0.225,0.223
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.427,1.126,0.809,0.642,0.386,0.264
United Kingdom,Western Europe,21,6.867,1.266,1.285,0.909,0.596,0.321,0.519
Oman,Middle East and Northern Africa,22,6.853,1.36,1.082,0.763,0.633,0.325,0.215
Venezuela,Latin America and Caribbean,23,6.81,1.044,1.256,0.721,0.429,0.111,0.058
Singapore,Southeastern Asia,24,6.798,1.522,1.02,1.025,0.543,0.492,0.311
Panama,Latin America and Caribbean,25,6.786,1.064,1.199,0.797,0.542,0.093,0.244
Germany,Western Europe,26,6.75,1.328,1.299,0.892,0.615,0.218,0.282
Chile,Latin America and Caribbean,27,6.67,1.107,1.124,0.859,0.441,0.129,0.334
Qatar,Middle East and Northern Africa,28,6.611,1.69,1.079,0.797,0.64,0.522,0.326
France,Western Europe,29,6.575,1.278,1.26,0.946,0.55,0.206,0.123
Argentina,Latin America and Caribbean,30,6.574,1.054,1.248,0.787,0.45,0.085,0.115
Czech Republic,Central and Eastern Europe,31,6.505,1.179,1.206,0.845,0.464,0.027,0.107
Uruguay,Latin America and Caribbean,32,6.485,1.062,1.209,0.812,0.604,0.246,0.232
Colombia,Latin America and Caribbean,33,6.477,0.919,1.24,0.691,0.535,0.051,0.184
Thailand,Southeastern Asia,34,6.455,0.967,1.265,0.739,0.557,0.032,0.576
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.395,1.084,0.72,0.31,0.325,0.137
Spain,Western Europe,36,6.329,1.23,1.314,0.956,0.46,0.064,0.182
Malta,Western Europe,37,6.302,1.207,1.302,0.887,0.604,0.136,0.518
Taiwan,Eastern Asia,38,6.298,1.291,1.076,0.875,0.397,0.081,0.254
Kuwait,Middle East and Northern Africa,39,6.295,1.554,1.166,0.725,0.555,0.256,0.162
Suriname,Latin America and Caribbean,40,6.269,0.995,0.972,0.608,0.597,0.136,0.17
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.212,1.184,0.615,0.559,0.011,0.318
El Salvador,Latin America and Caribbean,42,6.13,0.765,1.025,0.677,0.404,0.118,0.107
Guatemala,Latin America and Caribbean,43,6.123,0.746,1.044,0.644,0.577,0.095,0.275
Uzbekistan,Central and Eastern Europe,44,6.003,0.632,1.34,0.598,0.658,0.308,0.228
Slovakia,Central and Eastern Europe,45,5.995,1.169,1.27,0.789,0.318,0.034,0.169
Japan,Eastern Asia,46,5.987,1.271,1.257,0.991,0.496,0.181,0.107
South Korea,Eastern Asia,47,5.984,1.245,0.958,0.965,0.332,0.079,0.186
Ecuador,Latin America and Caribbean,48,5.975,0.864,0.999,0.791,0.486,0.181,0.115
Bahrain,Middle East and Northern Africa,49,5.96,1.324,1.216,0.747,0.455,0.306,0.174
Italy,Western Europe,50,5.948,1.251,1.198,0.954,0.262,0.029,0.228
Bolivia,Latin America and Caribbean,51,5.89,0.681,0.978,0.539,0.574,0.088,0.205
